"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The access history in hive \??\C:\ProgramData\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\S-1-5-21-644475733-3950108919-2345254842-1001\SystemAppData\Helium\Cache\d4bd1e30c84bc586_COM15.dat was cleared updating 1 keys and creating 1 modified pages.","16","0",,"4","0","0","-9223372036854775808","34066","Microsoft-Windows-Kernel-General","a68ca8b7-004f-d7b6-a698-07e2de0f1f5d","System","1104","2456","DESKTOP-EU893EO","S-1-5-18","6/11/2024 9:15:53 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-EU893EO\basti SID (S-1-5-21-644475733-3950108919-2345254842-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.4239_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool.","10016","0","0","3","0","0","-9187343239835811840","34065","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1224","2104","DESKTOP-EU893EO","S-1-5-21-644475733-3950108919-2345254842-1001","6/11/2024 9:15:44 PM","1fb5add5-12a2-4815-bfa9-3aaeff9bb646",,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The wuauserv service terminated with the following error: 
The system cannot find the file specified.","7023","0","49152","2","0","0","-9187343239835811840","34064","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","104","4412","DESKTOP-EU893EO",,"6/11/2024 9:14:40 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-EU893EO\basti SID (S-1-5-21-644475733-3950108919-2345254842-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.","10016","0","0","3","0","0","-9187343239835811840","34063","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1224","18000","DESKTOP-EU893EO","S-1-5-21-644475733-3950108919-2345254842-1001","6/11/2024 9:13:56 PM","48784135-9eae-46af-9bfa-096eeee986d3",,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The access history in hive \??\C:\ProgramData\Packages\Microsoft.DesktopAppInstaller_8wekyb3d8bbwe\S-1-5-21-644475733-3950108919-2345254842-1001\SystemAppData\Helium\Cache\5c23afbfea13f43f_COM15.dat was cleared updating 1 keys and creating 1 modified pages.","16","0",,"4","0","0","-9223372036854775808","34062","Microsoft-Windows-Kernel-General","a68ca8b7-004f-d7b6-a698-07e2de0f1f5d","System","1104","3012","DESKTOP-EU893EO","S-1-5-18","6/11/2024 9:04:01 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process C:\Windows\System32\powercfg.exe (process ID:9472) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}","12","0",,"4","10","0","4611686018427387904","34061","Microsoft-Windows-UserModePowerService","ce8dee0b-d539-4000-b0f8-77bed049c590","System","1104","4852","DESKTOP-EU893EO","S-1-5-18","6/11/2024 8:58:47 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process C:\Windows\System32\powercfg.exe (process ID:12616) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}","12","0",,"4","10","0","4611686018427387904","34060","Microsoft-Windows-UserModePowerService","ce8dee0b-d539-4000-b0f8-77bed049c590","System","1104","14720","DESKTOP-EU893EO","S-1-5-18","6/11/2024 8:58:47 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process C:\Windows\System32\powercfg.exe (process ID:15648) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}","12","0",,"4","10","0","4611686018427387904","34059","Microsoft-Windows-UserModePowerService","ce8dee0b-d539-4000-b0f8-77bed049c590","System","1104","7544","DESKTOP-EU893EO","S-1-5-18","6/11/2024 8:58:47 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process C:\Windows\System32\powercfg.exe (process ID:12428) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}","12","0",,"4","10","0","4611686018427387904","34058","Microsoft-Windows-UserModePowerService","ce8dee0b-d539-4000-b0f8-77bed049c590","System","1104","13156","DESKTOP-EU893EO","S-1-5-18","6/11/2024 8:58:47 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process C:\Windows\System32\powercfg.exe (process ID:5040) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}","12","0",,"4","10","0","4611686018427387904","34057","Microsoft-Windows-UserModePowerService","ce8dee0b-d539-4000-b0f8-77bed049c590","System","1104","13156","DESKTOP-EU893EO","S-1-5-18","6/11/2024 8:58:41 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process C:\Windows\System32\powercfg.exe (process ID:16756) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}","12","0",,"4","10","0","4611686018427387904","34056","Microsoft-Windows-UserModePowerService","ce8dee0b-d539-4000-b0f8-77bed049c590","System","1104","7544","DESKTOP-EU893EO","S-1-5-18","6/11/2024 8:58:41 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process C:\Windows\System32\powercfg.exe (process ID:17992) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}","12","0",,"4","10","0","4611686018427387904","34055","Microsoft-Windows-UserModePowerService","ce8dee0b-d539-4000-b0f8-77bed049c590","System","1104","14720","DESKTOP-EU893EO","S-1-5-18","6/11/2024 8:58:41 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Process C:\Windows\System32\powercfg.exe (process ID:11184) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}","12","0",,"4","10","0","4611686018427387904","34054","Microsoft-Windows-UserModePowerService","ce8dee0b-d539-4000-b0f8-77bed049c590","System","1104","4852","DESKTOP-EU893EO","S-1-5-18","6/11/2024 8:58:41 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{9A4948D9-13FC-4FAC-B60A-FBA6EE0FB11C}
 and APPID 
{50E1C3FD-EC35-490E-9CCF-C68F9AE91919}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.","10016","0","0","3","0","0","-9187343239835811840","34053","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1224","15820","DESKTOP-EU893EO","S-1-5-19","6/11/2024 8:40:17 PM","c648b9e5-9ecf-434c-855c-63cc145de139",,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The server {E60687F7-01A1-40AA-86AC-DB1CBF673334} did not register with DCOM within the required timeout.","10010","0","0","2","0","0","-9187343239835811840","34052","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1224","15820","DESKTOP-EU893EO","S-1-5-19","6/11/2024 8:40:17 PM","a2252318-9825-4941-9a07-4fbf4b74336d",,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The wuauserv service terminated with the following error: 
The system cannot find the file specified.","7023","0","49152","2","0","0","-9187343239835811840","34051","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","104","1724","DESKTOP-EU893EO",,"6/11/2024 8:38:17 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The server {E60687F7-01A1-40AA-86AC-DB1CBF673334} did not register with DCOM within the required timeout.","10010","0","0","2","0","0","-9187343239835811840","34050","Microsoft-Windows-DistributedCOM","1b562e86-b7aa-4131-badc-b6f3a001407e","System","1224","15820","DESKTOP-EU893EO","S-1-5-19","6/11/2024 8:38:17 PM","4d3bf2fd-73a1-4ff4-b62b-01e89ca935bb",,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The wuauserv service terminated with the following error: 
The system cannot find the file specified.","7023","0","49152","2","0","0","-9187343239835811840","34049","Service Control Manager","555908d1-a6d7-4695-8e1e-26931d2012f4","System","104","1724","DESKTOP-EU893EO",,"6/11/2024 8:36:17 PM",,,"System","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Error",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
